order,symbol,locus_overlap,gene_coordinates,start,end,length,effective_length,logFC,pvalue,gen.fdr
134,AT1G02816,-,1:621461-622469,621461,622469,1009,1009,0.981825513673527,1.00446622961759e-07,3.70827600299863e-07
135,AT1G02820,-,1:623765-624475,623765,624475,711,615,0.706584629816491,7.86451578400566e-08,2.93256878983428e-07
136,AT1G02840,-,1:626741-629819,626741,629819,3079,1594,0.989039960607965,9.52047808631788e-17,7.15616178747278e-16
137,AT1G02850,-,1:630505-633259,630505,633259,2755,1804,-0.346140572422603,0.013358640331266,0.0241618931625801
138,AT1G02860,-,1:635144-637262,635144,637262,2119,1517,0.978000515470325,0.462652497846024,0.55264005594238
139,AT1G02870,-,1:637214-638677,637214,638677,1464,843,1.30424195764534,9.294233293537452e-09,3.79579268209011e-08
140,AT1G02880,-,1:642752-644903,642752,644903,2152,1682,-0.323155276209088,0.001085835983041,0.0023784368642213
141,AT1G02890,-,1:645092-651907,645092,651907,6816,4131,0.353929021814804,2.06610815333257e-05,5.81202484466251e-05
142,AT1G02900,-,1:653765-654343,653765,654343,579,579,0.548779146151702,1.32555055070072e-05,3.81080389041648e-05
143,AT1G02910,-,1:655577-658148,655577,658148,2572,1557,-0.132346913907224,0.568942353592484,0.653569096448339
144,AT1G02920,-,1:658657-659771,658657,659771,1115,925,0.0531091717796359,0.538353249604023,0.625400742620957
145,AT1G02930,-,1:661177-662456,661177,662456,1280,1078,0.104863482946761,0.879278863851618,0.923237834309985
146,AT1G02950,-,1:665152-666452,665152,666452,1301,930,0.34460593464681,0.0003972791403891,0.0009349581088178
147,AT1G02952,-,1:665354-666367,665354,666367,1014,422,-0.438141824769641,2.77147175460328e-06,8.66539989827627e-06
148,AT1G02960,-,1:666872-669837,666872,669837,2966,1701,0.139114388429775,0.219454163034928,0.294392051366075
149,AT1G02965,-,1:671661-672814,671661,672814,1154,489,0.357036341478627,0.0079713600845054,0.015066300654477
150,AT1G02990,-,1:681396-687315,681396,687315,5920,4434,-0.200132292012548,0.798689689738551,0.85629570824542
151,AT1G03000,-,1:687890-692560,687890,692560,4671,3100,0.554434384491981,0.0007933544821231,0.0017763409690182
152,AT1G03020,-,1:698207-698515,698207,698515,309,309,-0.51056151769154,0.001324770539653,0.0028596314195091
153,AT1G03030,-,1:701478-703864,701478,703864,2387,1345,0.0513152385278414,0.829827161359689,0.882594585117094
154,AT1G03040,-,1:703906-706631,703906,706631,2726,1456,0.370854065379265,0.0005300026192805,0.0012219084353114
155,AT1G03055,-,1:710018-711803,710018,711803,1786,1072,-0.986508994831818,2.2882404771877996e-12,1.2643890684365698e-11
156,AT1G03060,-,1:712473-726891,712473,726891,14419,11304,0.0924684684542315,0.340025393309577,0.427009703205196
157,AT1G03080,-,1:731611-738056,731611,738056,6446,5736,-1.1086413358218,4.5715339245898005e-20,4.2100851335775e-19
158,AT1G03090,-,1:739679-744184,739679,744184,4506,2606,0.301033667245566,0.0140573946426016,0.0253191296987332
159,AT1G03110,-,1:749246-751963,749246,751963,2718,1564,1.63659325718357,1.20543439935501e-54,5.39279398998196e-53
160,AT1G03130,-,1:753307-754198,753307,754198,892,892,0.147903773160204,0.535207174566866,0.622675548502847
161,AT1G03140,-,1:754371-756303,754371,756303,1933,1443,-0.478898179875065,3.80874645758999e-11,1.91530841634929e-10
162,AT1G03150,-,1:756414-758612,756414,758612,2199,743,0.229100833249947,0.0014739185916338,0.0031555318925593
163,AT1G03160,-,1:761282-766158,761282,766158,4877,2948,0.498521616096862,0.0005140418842251,0.001188653832672
164,AT1G03170,-,1:769632-770684,769632,770684,1053,1053,-0.47450862436344,0.0018744420480607,0.0039384160991138
165,AT1G03180,-,1:773411-775344,773411,775344,1934,1499,-0.194522422976134,0.187763030527618,0.256774150171676
166,AT1G03190,-,1:775527-780062,775527,780062,4536,2771,0.376927913370876,0.33505994205392,0.421801117722612
167,AT1G03200,-,1:780602-781285,780602,781285,684,440,0.6177065129633,8.692223621946201e-10,3.91413591474783e-09
168,AT1G03210,-,1:782948-784240,782948,784240,1293,861,0.398787039568059,0.0508337543745059,0.0810045549653999
169,AT1G03220,-,1:787122-788651,787122,788651,1530,1530,0.0673373119181155,0.567232938658936,0.651928113107701
170,AT1G03230,-,1:790091-791592,790091,791592,1502,1502,1.66975376868896,2.5130226858388597e-22,2.6138251644417e-21
171,AT1G03250,-,1:793353-795376,793353,795376,2024,1196,1.18822142184168,0.0253598061930261,0.0433784928855466
172,AT1G03260,-,1:795532-798463,795532,798463,2932,1332,-1.14409030184632,5.760785148958e-41,1.45913693145367e-39
173,AT1G03270,-,1:799191-802436,799191,802436,3246,1500,-1.83047294133471,1.95062078441346e-70,1.5814508944725e-68
174,AT1G03280,-,1:803035-807066,803035,807066,4032,1901,-0.920249099378412,8.39940739054796e-21,8.017655404262901e-20
175,AT1G03290,-,1:807361-810868,807361,810868,3508,2194,-0.161837795248234,0.511851363486575,0.599863174756454
176,AT1G03300,-,1:811033-813086,811033,813086,2054,2013,0.0207425149413274,1.0,1.0
177,AT1G03310,-,1:813471-816749,813471,816749,3279,2955,0.66075493089912,1.8689362428882e-06,5.96812354411115e-06
178,AT1G03330,-,1:817983-819563,817983,819563,1581,726,0.236070044256898,0.0695915908399632,0.107240826322606
179,AT1G03350,-,1:822638-824393,822638,824393,1756,1756,0.0798797445617394,0.349343096203504,0.436614198863295
180,AT1G03360,-,1:824537-826358,824537,826358,1822,1264,0.514161964520899,9.79587793022897e-08,3.62074994331338e-07
181,AT1G03365,-,1:826569-830383,826569,830383,3815,2836,-0.47229141869351,2.19287640266548e-08,8.61467272363253e-08
182,AT1G03370,-,1:830627-835361,830627,835361,4735,3769,0.86641509367604,3.83898258107385e-08,1.46927541950561e-07
183,AT1G03380,-,1:835785-840940,835785,840940,5156,3732,0.311083961697096,0.999999999999998,1.0
184,AT1G03400,-,1:842747-844190,842747,844190,1444,1236,-0.338254799955108,8.6577863069732e-05,0.0002242160141934
185,AT1G03410,-,1:844436-847683,844436,847683,3248,2652,1.17398139605429,0.0331665571091511,0.055278269218142
186,AT1G03420,-,1:846664-847739,846664,847739,1076,1076,-0.000113796287035,0.9973786655396,1.0
187,AT1G03430,-,1:847873-849500,847873,849500,1628,1025,0.342004178431911,0.0006793628161847,0.0015391153197419
188,AT1G03440,-,1:852366-854032,852366,854032,1667,1667,0.35462050803775,0.253895922186387,0.333439321731093
189,AT1G03457,-,1:860788-864125,860788,864125,3338,1744,-0.164261905887869,0.0828774691107084,0.125260753134924
190,AT1G03470,-,1:865915-867733,865915,867733,1819,1247,0.0434432413074836,0.707025387269522,0.778658995138566
191,AT1G03475,-,1:869051-871211,869051,871211,2161,1448,-1.04277892990837,1.01317524461657e-17,8.129045631612431e-17
192,AT1G03495,-,1:873184-874935,873184,874935,1752,1752,1.31667103457321,4.103252905178371e-09,1.73849825279648e-08
193,AT1G03502,-,1:875358-875471,875358,875471,114,114,0.175858549340159,0.0402208076743138,0.0658094223390597
194,AT1G03506,-,1:875518-875604,875518,875604,87,87,0.17416546880947,0.0456872939236407,0.0737206934630899
195,AT1G03520,-,1:877862-880158,877862,880158,2297,2035,-0.208742566877884,0.0132853615660488,0.0240452352149797
196,AT1G03530,-,1:880496-883391,880496,883391,2896,2601,1.05987184402274,2.8623103460266298e-12,1.57223828060149e-11
197,AT1G03545,-,1:885941-887906,885941,887906,1966,1223,1.22512309690125,7.55577261579465e-12,4.0229559617104496e-11
198,AT1G03550,-,1:885623-887956,885623,887956,2334,1258,1.06990036028514,0.0004043674414472,0.0009506756892375
199,AT1G03560,-,1:890156-892410,890156,892410,2255,2255,-0.0754737534782888,0.297985566616766,0.38209821326106
200,AT1G03580,-,1:892847-894052,892847,894052,1206,1206,1.0926885705981,2.41225837560918e-13,1.42858019143732e-12
201,AT1G03590,-,1:894254-897518,894254,897518,3265,2003,0.666715453335479,0.0026808649491856,0.0054900660320517
202,AT1G03600,-,1:898876-899655,898876,899655,780,780,0.762125370767373,0.0029694491126934,0.006037099455351
203,AT1G03610,-,1:900887-903003,900887,903003,2117,1675,3.71659383958464,3.80672711358919e-77,4.23207758029322e-75
204,AT1G03620,-,1:904319-906186,904319,906186,1868,860,0.454674489566226,0.103353910294794,0.152436344020746
205,AT1G03630,-,1:907642-909376,907642,909376,1735,1394,-1.17592801534127,1.17239284266125e-17,9.36199807176293e-17
206,AT1G03650,-,1:910023-911193,910023,911193,1171,793,1.26521689011639,3.4979784888192004e-24,4.02126740702274e-23
207,AT1G03680,-,1:916819-918064,916819,918064,1246,910,-2.68001784745354,1.7938403542725098e-36,3.7253288610093303e-35
208,AT1G03687,-,1:918299-920507,918299,920507,2209,1447,1.43743610688201,3.2166840136208397e-40,7.91006031746816e-39
209,AT1G03730,-,1:930828-931895,930828,931895,1068,1068,0.187954477701812,0.038796746283714,0.0637039348636626
210,AT1G03740,-,1:933512-937043,933512,937043,3532,3099,0.252752498274148,0.0375713178450151,0.0619065278252332
211,AT1G03750,-,1:937920-941162,937920,941162,3243,2683,0.457872958783043,5.1896885177417e-07,1.76081427303349e-06
212,AT1G03760,-,1:941062-943377,941062,943377,2316,1382,0.341194286635279,0.0056860313073933,0.0110575947683111
213,AT1G03770,-,1:944572-947483,944572,947483,2912,1659,-0.453499852443728,0.0030488354930418,0.0061869799719985
214,AT1G03790,-,1:954525-956097,954525,956097,1573,1573,-0.287798833114169,0.0009187720993323,0.0020360375741471
215,AT1G03800,-,1:957261-957998,957261,957998,738,738,0.151525674536375,0.0646925729633657,0.100399758391528
216,AT1G03820,-,1:959869-960728,959869,960728,860,860,3.15141201036904,1.41876007927835e-16,1.05658642727163e-15
217,AT1G03830,-,1:962016-966757,962016,966757,4742,3289,-2.0403904228878,3.37427995552112e-10,1.5764187633166901e-09
218,AT1G03840,-,1:967503-970130,967503,970130,2628,1686,0.836795985579842,3.0429089531189e-14,1.91962784993563e-13
219,AT1G03850,-,1:976097-977761,976097,977761,1665,1065,0.516981462341365,0.0016632950355439,0.0035284204330333
220,AT1G03860,-,1:979308-981885,979308,981885,2578,1572,0.656257478757121,9.30279499484071e-08,3.44879576426143e-07
221,AT1G03870,-,1:982506-983540,982506,983540,1035,1035,-0.519523178357133,1.03254780489084e-05,3.00192335508977e-05
222,AT1G03900,-,1:991139-993118,991139,993118,1980,1198,1.58697068363853,5.0658972028245e-10,2.3263281589819303e-09
223,AT1G03905,-,1:993400-995784,993400,995784,2385,1141,-1.04992401815353,1.7220220106851598e-40,4.28566496653896e-39
224,AT1G03910,-,1:996115-1000437,996115,1000437,4323,2466,0.46543924520451,0.0001574281068152,0.0003926397408827
225,AT1G03920,-,1:1001321-1004383,1001321,1004383,3063,2005,0.368941767744241,0.0011152186557032,0.0024379076370877
226,AT1G03930,-,1:1004769-1008370,1004769,1008370,3602,2338,0.571917540905134,7.09950813175697e-06,2.10928897382301e-05
227,AT1G03935,-,1:1008810-1008896,1008810,1008896,87,87,-0.279487497866036,0.0151698223245575,0.0271672539093021
228,AT1G03940,-,1:1009542-1011056,1009542,1011056,1515,1515,-1.50926403134932,0.0246361806992485,0.0422341025726913
229,AT1G03950,-,1:1011172-1013365,1011172,1013365,2194,1002,-0.389197787802826,0.0209030269893759,0.0363955358796543
230,AT1G03960,-,1:1013715-1017929,1013715,1017929,4215,2483,-0.446356543217518,0.127845147522805,0.183869626532527
231,AT1G03970,-,1:1018100-1019247,1018100,1019247,1148,1148,-2.31777171420941,6.1580505934287304e-52,2.44818773699353e-50
232,AT1G03980,-,1:1018570-1022108,1018570,1022108,3539,2337,0.660007020592266,5.80798985549145e-08,2.18768796220439e-07
233,AT1G03990,-,1:1024847-1027616,1024847,1027616,2770,2277,-0.699696714839618,8.06396470190154e-05,0.0002099797596851
234,AT1G04000,-,1:1028106-1029119,1028106,1029119,1014,1014,1.31087841922455,3.3694443393308397e-62,1.99226444598779e-60
235,AT1G04010,-,1:1031200-1036237,1031200,1036237,5038,2399,-0.504853508487043,8.2172296516628e-09,3.38122973654192e-08
236,AT1G04020,-,1:1036537-1040224,1036537,1040224,3688,2401,-0.387903624344143,0.227027834566029,0.303302783086486
237,AT1G04030,-,1:1040383-1042892,1040383,1042892,2510,1846,1.33482515335577,0.0022090142071666,0.0045890743840501
238,AT1G04040,-,1:1042362-1043864,1042362,1043864,1503,1063,0.0155636703653066,0.849616121790282,0.89880187562156
